months,race,contrabn,stops,month_tot,race_prop
2005-05-01,A,0,1203,1230.0,0.9780487804878049
2005-05-01,A,1,27,1230.0,0.02195121951219512
2005-05-01,B,0,18604,19442.0,0.9568974385351301
2005-05-01,B,1,838,19442.0,0.04310256146486987
2005-05-01,H,0,11569,11659.0,0.9922806415644566
2005-05-01,H,1,90,11659.0,0.007719358435543357
2005-05-01,W,0,4115,4228.0,0.9732734153263954
2005-05-01,W,1,113,4228.0,0.02672658467360454
2005-06-01,A,0,1148,1148.0,1.0
2005-06-01,B,0,17665,17665.0,1.0
2005-06-01,H,0,9473,9791.0,0.9675211929322848
2005-06-01,H,1,318,9791.0,0.03247880706771525
2005-06-01,W,0,3470,3470.0,1.0
2005-07-01,A,0,671,691.0,0.9710564399421129
2005-07-01,A,1,20,691.0,0.02894356005788712
2005-07-01,B,0,13502,14034.0,0.9620920621348155
2005-07-01,B,1,532,14034.0,0.03790793786518455
2005-07-01,H,0,8299,8299.0,1.0
2005-07-01,W,0,2700,2791.0,0.9673951988534576
2005-07-01,W,1,91,2791.0,0.032604801146542454
2005-08-01,A,0,756,756.0,1.0
2005-08-01,B,0,13665,14199.0,0.9623917177266005
2005-08-01,B,1,534,14199.0,0.03760828227339953
2005-08-01,H,0,8171,8171.0,1.0
2005-08-01,W,0,2728,2859.0,0.9541797831409584
2005-08-01,W,1,131,2859.0,0.04582021685904162
2005-09-01,A,0,564,580.0,0.9724137931034482
2005-09-01,A,1,16,580.0,0.027586206896551724
2005-09-01,B,0,13675,13675.0,1.0
2005-09-01,H,0,7447,7495.0,0.9935957304869913
2005-09-01,H,1,48,7495.0,0.006404269513008673
2005-09-01,W,0,2450,2450.0,1.0
2005-10-01,A,0,730,742.0,0.9838274932614556
2005-10-01,A,1,12,742.0,0.016172506738544475
2005-10-01,B,0,17236,17236.0,1.0
2005-10-01,H,0,9057,9180.0,0.9866013071895425
2005-10-01,H,1,123,9180.0,0.013398692810457516
2005-10-01,W,0,2637,2915.0,0.904631217838765
2005-10-01,W,1,278,2915.0,0.095368782161235
2005-11-01,A,0,637,637.0,1.0
2005-11-01,B,0,14447,14915.0,0.9686221924237345
2005-11-01,B,1,468,14915.0,0.0313778075762655
2005-11-01,H,0,8097,8097.0,1.0
2005-11-01,W,0,2760,2760.0,1.0
2005-12-01,A,0,756,787.0,0.9606099110546379
2005-12-01,A,1,31,787.0,0.03939008894536213
2005-12-01,B,0,13443,14978.0,0.8975163573240753
2005-12-01,B,1,1535,14978.0,0.10248364267592469
2005-12-01,H,0,8188,8304.0,0.9860308285163777
2005-12-01,H,1,116,8304.0,0.013969171483622351
2005-12-01,W,0,2935,2935.0,1.0
2006-01-01,A,0,1262,1262.0,1.0
2006-01-01,B,0,20191,22373.0,0.9024717293165869
2006-01-01,B,1,2182,22373.0,0.09752827068341305
2006-01-01,H,0,13613,13945.0,0.9761921835783435
2006-01-01,H,1,332,13945.0,0.023807816421656507
2006-01-01,W,0,5019,5019.0,1.0
2006-02-01,A,0,1289,1289.0,1.0
2006-02-01,B,0,21601,21601.0,1.0
2006-02-01,H,0,12795,12795.0,1.0
2006-02-01,W,0,4700,4700.0,1.0
2006-03-01,A,0,1507,1507.0,1.0
2006-03-01,B,0,25248,25248.0,1.0
2006-03-01,H,0,14429,14429.0,1.0
2006-03-01,W,0,5042,5042.0,1.0
2006-04-01,A,0,1200,1200.0,1.0
2006-04-01,B,0,20987,22413.0,0.9363762102351314
2006-04-01,B,1,1426,22413.0,0.0636237897648686
2006-04-01,H,0,11407,12083.0,0.9440536290656294
2006-04-01,H,1,676,12083.0,0.055946370934370604
2006-04-01,W,0,4497,4497.0,1.0
2006-05-01,A,0,1200,1296.0,0.9259259259259259
2006-05-01,A,1,96,1296.0,0.07407407407407407
2006-05-01,B,0,22834,23744.0,0.9616745283018868
2006-05-01,B,1,910,23744.0,0.038325471698113206
2006-05-01,H,0,13219,13287.0,0.9948822156995559
2006-05-01,H,1,68,13287.0,0.005117784300444043
2006-05-01,W,0,4676,4676.0,1.0
2006-06-01,A,0,1170,1170.0,1.0
2006-06-01,B,0,20804,22354.0,0.9306611792073007
2006-06-01,B,1,1550,22354.0,0.06933882079269929
